brand,file_path,product_usage_in_action,product_usage_in_action_description,product_clearly_seen,product_clearly_seen_description,is_a_child_or_baby_present,is_a_child_or_baby_present_description
huggies,results/huggies/C9nOAW7JrHu_2024-07-19_17-34-26_UTC.jpg,False,The provided image does not show anyone using Huggies diapers.,False,Huggies diapers are not visible in the image.,True,A baby is present in the image.
huggies,results/huggies/C1Kd7zlRSXh_2023-12-22_17-25-01_UTC.jpg,False,"The video shows a baby and a grandmother, but it does not show the baby using Huggies diapers. ",False,"The brand is mentioned in the text overlay, but there are no Huggies products visible in the video. ",True,A baby is present in the video. 
huggies,results/huggies/C65KuSLsHLH_2024-05-13_03-16-44_UTC_3.jpg,False,There is no one in the video showing the usage of the product.,True,Huggies products are clearly visible in the image.,False,There is no baby present in the image.
huggies,results/huggies/C9DxcNBOvEN_2024-07-05_23-11-28_UTC_1.jpg,False,"The video shows a woman holding Huggies diapers, but it does not show anyone using them.",True,The Huggies diaper boxes and packaging are clearly visible in the video.,True,There are babies shown on the diaper packaging.
huggies,results/huggies/C90D8cPvFyx_2024-07-24_17-17-12_UTC_1.jpg,False,"The video shows a mother and baby, but does not show the baby using the product.",True,The Huggies brand and product packaging are clearly visible in the video.,True,"A baby is present in the video; however, there is no indication that the baby is wearing the product."
huggies,results/huggies/C662tvXuuWH_2024-05-13_19-01-11_UTC.jpg,False,"The video shows a baby on a changing table with Huggies wipes nearby, but does not depict anyone using the product.",True,A package of Huggies wipes is clearly visible on the changing table.,True,A baby is lying on the changing table.
huggies,results/huggies/C9kgqSaP9bA_2024-07-18_16-32-19_UTC.jpg,,,,,,
huggies,results/huggies/DBhJ45wNr1r_2024-10-24_19-07-52_UTC_1.jpg,False,"The video shows a man holding Huggies Overnites diapers, but he is not shown using them on a baby.",True,The Huggies Overnites diapers and box are clearly visible in the video.,True,A baby is shown on the Huggies Overnites packaging.
huggies,results/huggies/C9kga3tOm3k_2024-07-18_16-18-50_UTC.jpg,False,"A person is carrying a Huggies diaper box, but there is no demonstration of the diapers being used.",True,The Huggies Skin Essentials box is clearly visible and the brand is prominent.,False,There is no child or baby present in the video.
huggies,results/huggies/C9-Apt8JH7f_2024-07-28_13-59-07_UTC_3.jpg,False,No product is used by anyone in the video.,False,No product is seen in the video.,True,There is a baby present in the video.
huggies,results/huggies/C14xrwSLLbh_2024-01-09_17-02-13_UTC_1.jpg,False,"The baby is being held by an adult, but there is no visible interaction with the product itself.  There is no depiction of the product being used for its intended purpose.",False,The product is not visible in the video. There is no depiction of the product itself.,True,A baby is visible being carried by a woman.
huggies,results/huggies/C6kpwFcLpCG_2024-05-05_04-03-49_UTC_2.jpg,False,The image does not show anyone using Huggies diapers.  It shows a baby and a woman.,False,No Huggies diapers are visible in the image.,True,A baby is being held by a woman.
huggies,results/huggies/C6tzop_JXBE_2024-05-08_17-24-38_UTC.jpg,False,The video does not show anyone using Huggies diapers. It shows a woman holding a baby.,False,Huggies diapers are not seen in the video.,True,A baby is present in the video; the baby is being held by a woman.
huggies,results/huggies/C88Iv-pOgW1_2024-07-03_00-01-42_UTC_1.jpg,False,"The video shows a person holding a package of Huggies diapers, but it does not depict anyone using the diapers.",True,The package of Huggies Skin Essentials diapers is clearly visible and the brand is prominently displayed.,True,A baby is shown on the package of diapers.
huggies,results/huggies/C6kpwFcLpCG_2024-05-05_04-03-49_UTC_1.jpg,False,The baby is present but there is no demonstration of the product being used.,False,Huggies diapers are not visible in the image.,True,A baby is being held by a woman.
huggies,results/huggies/C7E9xNpubJs_2024-05-17_17-17-11_UTC.jpg,False,"The video shows a baby wearing Huggies diapers, but it does not show the process of putting them on.",True,"Several Huggies diaper boxes and packages are clearly visible in the video, showing the brand and product name.",True,A baby is present in the video; the baby is wearing Huggies diapers.
huggies,results/huggies/C7Rv6NquyoR_2024-05-22_16-24-36_UTC.jpg,True,A father is using a baby wipe to clean his baby's face.,True,The baby wipe is clearly visible in the father's hand and being used on the baby.,True,There is a baby present who is having their face cleaned with a baby wipe.
huggies,results/huggies/C7jwDHbJbTk_2024-05-29_16-11-18_UTC.jpg,False,The video shows a man carrying multiple boxes of Huggies diapers. There is no depiction of anyone using the diapers.,True,The boxes of Huggies diapers are clearly visible and labeled.,False,There are no children or babies present in the video.
huggies,results/huggies/C6xb9OxL3K2_2024-05-10_03-14-31_UTC_1.jpg,False,"The video shows a woman holding a package of Huggies wipes, but it does not show anyone using the diapers.",True,A package of Huggies wipes is clearly visible in the video.,True,A baby is visible in a crib.
huggies,results/huggies/C-dVesRynk8_2024-08-09_17-58-23_UTC.jpg,False,"Although the video mentions that all 4 people are wearing Huggies diapers, there is no actual demonstration of anyone putting on or using the diapers.",True,A pack of Huggies Little Snugglers diapers is clearly visible on the bathroom counter.,True,"Yes, there are three children and a baby present in the video.  The caption mentions that they are all wearing diapers."
huggies,results/huggies/C2z29pLMIcD_2024-02-01_15-43-54_UTC_1.jpg,False,"A Huggies diaper is shown in the hand of an adult and a child, but it is not shown being used on a baby.",True,A box of Huggies Little Movers diapers is clearly visible and shown in the video.,True,A toddler is present in the video.
huggies,results/huggies/C2k-TsLRzzG_2024-01-26_20-59-28_UTC_1.jpg,False,"The video shows a baby in a stroller, but there is no visible use of Huggies diapers.  The focus is on a dermatologist speaking.",False,No Huggies products are visible in the video.,True,A baby is present in a stroller.
huggies,results/huggies/C3ISNi-MwmY_2024-02-09_14-05-14_UTC.jpg,False,There is no one in the video using the product.,False,"The Huggies brand is mentioned in text on a sticky note, but no product is shown.",False,No children or babies are present in the video.
huggies,results/huggies/C61N2jtOAy8_2024-05-11_14-28-10_UTC_1.jpg,False,The video shows a hand holding a package of Huggies wipes.  It does not depict the wipes being used to clean a baby.,True,The package of Huggies wipes is clearly visible and the brand is prominently displayed.,False,"There is Winnie-the-Pooh on the wipes packaging, but no actual child or baby is present in the video."
huggies,results/huggies/C7BC1aagflN_2024-05-16_04-41-44_UTC_5.jpg,False,The video does not show anyone using Huggies diapers.,False,The Huggies brand is not clearly visible in the video.,True,A baby is present in the video.
huggies,results/huggies/C-koFEkuCmV_2024-08-12_13-54-47_UTC_3.jpg,False,No one in the video shows themselves using the Huggies diapers.,True,Many Huggies diaper boxes and packages of diapers are clearly visible in the image.,False,There are no children or babies present in the image.
huggies,results/huggies/C6uMM4hOVdw_2024-05-08_21-26-54_UTC.jpg,False,The video does not show anyone using Huggies diapers. It shows a mother and baby interacting.,False,Huggies diapers are not seen in the video.,True,There is a baby present in the video.
huggies,results/huggies/C7UVpgGprqr_2024-05-23_16-32-18_UTC.jpg,False,The video shows a man carrying boxes of Huggies diapers.  There is no depiction of the diapers being used on a baby.,True,The boxes of Huggies diapers are clearly visible and the brand is prominently displayed.,False,"There is an image of a baby on the diaper box, but no baby is present in the video itself."
huggies,results/huggies/C22zJ2dvtuY_2024-02-02_19-06-44_UTC_1.jpg,False,"The baby is not shown using the diapers, only wearing them.",False,The diapers are not clearly visible in the image.,True,There is a baby present in the image.
huggies,results/huggies/C-8NcA9OBzd_2024-08-21_17-43-46_UTC_2.jpg,False,"A Huggies diaper and wipes are shown, but not in use.  A person is holding them.",True,The Huggies brand is visible on both the diaper and the wipes package. The box of diapers also clearly shows the brand.,False,There is no child or baby present in the image.
huggies,results/huggies/C0J1e0OMM7J_2023-11-27_15-01-22_UTC.jpg,False,"The video does not show anyone using Huggies diapers. It shows a baby, but there is no demonstration of diaper usage.",False,"Huggies diapers are not seen in the video. The video shows a baby, who is likely wearing diapers, but the brand is not visible.",True,A baby is being held by a woman in the video.
huggies,results/huggies/C7BC1aagflN_2024-05-16_04-41-44_UTC_7.jpg,False,The image does not show anyone using Huggies diapers. It shows a baby in clothes.,False,No Huggies product is visible in the image.,True,There is a baby present in the image.
huggies,results/huggies/C_luKhJvW8i_2024-09-06_20-41-49_UTC.jpg,False,"The video shows a baby in what seems to be a Huggies diaper, but it is not shown how it is used.",False,"The Huggies brand is not seen in the video, only the baby wearing a diaper.",True,There is a baby present in the video.
huggies,results/huggies/C7jvykEuMjz_2024-05-29_16-08-44_UTC_4.jpg,False,"The video shows a person looking at a phone screen with a Huggies ad, but there is no demonstration of the product being used.",True,The Huggies diaper packaging is clearly visible on the phone screen.,True,A baby is visible in the Huggies ad on the phone screen.
huggies,results/huggies/C6kpwFcLpCG_2024-05-05_04-03-49_UTC_6.jpg,False,The video does not show anyone using Huggies diapers. It shows a family.,False,Huggies diapers are not seen in the video.,True,A baby is present in the arms of its parents.
huggies,results/huggies/C22zJ2dvtuY_2024-02-02_19-06-44_UTC_3.jpg,False,The video does not show anyone using Huggies diapers.,False,Huggies diapers are not visible in the image.,True,A baby is present in the image.
huggies,results/huggies/C0mgUu3ugah_2023-12-08_18-13-11_UTC.jpg,False,"The video shows a person holding a box of Huggies diapers, but does not show anyone using them.",True,A box of Huggies Little Movers diapers is clearly visible in the video.,False,There are no children or babies present in this video.
huggies,results/huggies/DCVK1-ES41K_2024-11-13_23-57-26_UTC_1.jpg,False,The video shows a woman holding a baby.  There is no depiction of the baby's diaper being changed or the product being applied.,True,A package of Huggies OverNites diapers is clearly visible in the video.,True,A baby is being held by a woman in the video.
huggies,results/huggies/C6_bCZnL30X_2024-05-15_13-34-44_UTC.jpg,False,The video shows a delivery of Huggies diapers.  No one is shown using the diapers.,True,Many boxes of Huggies diapers are clearly visible in the back of a truck.,False,There are no children or babies present in the video.
huggies,results/huggies/DB7T_Y2AF4X_2024-11-03_22-55-58_UTC_4.jpg,False,"No one in the video is shown using the Huggies diapers.  The video shows boxes of diapers and a baby, but there is no demonstration of the diapers being used.",True,Multiple boxes of Huggies Skin Essentials diapers are clearly visible in the video. The brand is prominently displayed on the boxes.,True,"Yes, there is a toddler and a baby present in the video. The baby appears to be in a baby carrier."
huggies,results/huggies/C9t-6AexFjh_2024-07-22_08-40-26_UTC_1.jpg,False,No one in the video is shown using the product.  The diapers are just shown in the box and on a shelf.,True,The Huggies Skin Essentials diapers and wipes are clearly visible in the image.,True,"A baby is present, and it appears to be wearing Huggies diapers."
huggies,results/huggies/C3vZXrdPYlX_2024-02-24_18-43-38_UTC.jpg,False,The video shows a person looking at a phone screen with Huggies wipes on the screen.  No one in the video is shown using the product.,True,The Huggies wipes packaging is clearly visible on the phone screen.,False,There are no children or babies present in this video.
huggies,results/huggies/DBKb9d1OPtI_2024-10-15_23-27-25_UTC_1.jpg,False,No product is being used by the person in the video.,False,The product is not seen in this video.,True,There is a baby present in the video.
huggies,results/huggies/DBZ74y1OdGW_2024-10-21_23-55-46_UTC.jpg,False,No product is used in action. The video shows a woman in a mirror selfie.,False,The product is not seen in this video.,True,There is a child present in the mirror reflection.
huggies,results/huggies/C2a-zeGMagH_2024-01-22_23-52-15_UTC.jpg,False,"The video shows two babies in pajamas, but it does not show them using Huggies diapers. ",False,The Huggies brand or product is not visible in the video.,True,There are two babies present in the video.
huggies,results/huggies/DAWRN8CJdir_2024-09-25_17-09-51_UTC.jpg,False,No person is shown using the Huggies Little Swimmers diapers in the video. The diapers are simply shown on a chair.,True,The Huggies Little Swimmers diapers and their packaging are clearly visible in the image.,True,A baby is shown on the packaging of the Huggies Little Swimmers diapers.
huggies,results/huggies/C6p5oAOLkSM_2024-05-07_05-04-42_UTC.jpg,False,"The video does not show anyone using Huggies diapers.  It shows a baby, but there is no visible diaper.",False,No Huggies product is visible in the video.,True,A baby is present in the video.
huggies,results/huggies/C-LgA6gS14l_2024-08-02_19-45-11_UTC.jpg,False,"The video shows a person packing a pink bag, but it does not show the Huggies product in action.",False,The Huggies product is not seen in the video.,False,There is no child or baby present in this video.
huggies,results/huggies/C7BC1aagflN_2024-05-16_04-41-44_UTC_3.jpg,False,The video does not show anyone using Huggies diapers.,False,The image does not show any Huggies products.,True,"A baby is present in the image; however, it is unclear if they are wearing Huggies diapers."
huggies,results/huggies/C2iFd80vzdv_2024-01-25_18-04-34_UTC.jpg,False,There is no product usage shown in the video.,False,The product is not seen in this video.,True,A baby is present in the video.
huggies,results/huggies/C1SNg7MxayD_2023-12-25_17-33-47_UTC_3.jpg,False,No one in this video is using Huggies diapers. The video shows two children sitting in front of a Christmas tree with various gifts.,False,Huggies diapers are not seen in the video.,True,There are two children present in the video.
huggies,results/huggies/C7jvykEuMjz_2024-05-29_16-08-44_UTC_3.jpg,True,"A person is opening and taking out a wipe from the Huggies wipes package. Also, there is a used Huggies diaper on the table.",True,The Huggies brand is clearly visible on both the wipes package and the diaper.,False,There is no child or baby present in the image.
huggies,results/huggies/C12NWLVxWOJ_2024-01-08_17-05-27_UTC_1.jpg,False,No product is being used by anyone in the video.,False,There is no product shown in the video.,True,There are two children present in the video.
huggies,results/huggies/DAlSAqUOXXj_2024-10-01_13-06-19_UTC_1.jpg,False,"The video shows a pregnant person talking about baby skin health, but there is no demonstration of product usage.",False,Huggies diapers are not shown in this video.,False,No child or baby is present in this video.
huggies,results/huggies/DCSE67jAles_2024-11-12_19-09-33_UTC_1.jpg,False,The video shows a person placing Huggies diapers on a kitchen counter.  There is no depiction of anyone using the diapers on a baby.,True,Both boxes and a pack of Huggies diapers are clearly visible with the brand name prominently displayed.,True,An image of a baby is on the package of Huggies Little Snugglers diapers.
huggies,results/huggies/C9u0JbnPtTl_2024-07-22_16-24-04_UTC_1.jpg,False,"The video shows a package of Huggies diapers and a baby, but it does not show anyone using the diapers.",True,A package of Huggies Skin Essentials diapers is clearly visible in the video.,True,An 18-month-old baby is visible in a mirror reflection in the video.
huggies,results/huggies/C6rxtEdx_Vg_2024-05-07_22-28-37_UTC_1.jpg,False,No one in the video shows themselves using the Huggies diapers.,True,The Huggies diaper boxes and several diapers are clearly visible on the table.,True,A baby is shown on the packaging of the Huggies diapers.
huggies,results/huggies/C_JFvg5SKxJ_2024-08-26_17-47-51_UTC_1.jpg,False,The video shows a mother holding a baby.  There is no depiction of the Huggies diaper being put on the baby or used in any way.,True,A pack of Huggies diapers is clearly visible on a shelf in the background.,True,A baby is being held by its mother in the video.
huggies,results/huggies/C5OSeeOscCt_2024-04-01_15-06-55_UTC.jpg,False,There is no product usage shown in the video.,False,The video does not show any Huggies products.,False,There are no children or babies present in this video.
huggies,results/huggies/C-Vt9s8uwNN_2024-08-06_18-59-50_UTC.jpg,True,A baby is shown wearing a Huggies diaper.,True,The Huggies diaper on the baby is clearly visible and shows the brand's logo.,True,A baby is present in the image and wearing a Huggies diaper.
huggies,results/huggies/C6w9yHNOwEa_2024-05-09_22-51-18_UTC_1.jpg,False,"The video shows a baby, but there is no visible use of Huggies diapers.",False,No Huggies product is visible in the video.,True,A baby is being held by an adult woman.
huggies,results/huggies/C7jvykEuMjz_2024-05-29_16-08-44_UTC_1.jpg,False,"The baby is wearing the diaper, but there is no demonstration of putting it on or using it in any other way.",True,The Huggies diaper is clearly visible on the baby.,True,A baby is present and wearing a Huggies diaper.
huggies,results/huggies/DBR-tY8yGVJ_2024-10-18_21-44-22_UTC_1.jpg,False,The video shows two toddlers wrapped in hooded towels after bath time.  There is no depiction of diapers being used.,False,The video does not show any Huggies products.  Only hooded towels are visible.,True,There are two toddlers present in the video.
huggies,results/huggies/C1APqVSJ_7p_2023-12-18_18-10-10_UTC_1.jpg,False,The video shows a package of Huggies Little Movers diapers.  There is no depiction of anyone using the diapers.,True,The Huggies Little Movers diaper package is clearly visible and in focus for much of the video.,False,No child or baby is present in the video.
huggies,results/huggies/C65KuSLsHLH_2024-05-13_03-16-44_UTC_4.jpg,False,No diapers are seen in the video.,False,The Huggies brand is not seen in the video.,True,There are three babies present in the video.
huggies,results/huggies/C53oPisRA7v_2024-04-17_16-25-33_UTC.jpg,False,"The video shows a pregnant woman packing a hospital bag, but there is no visible use of Huggies diapers.",False,Huggies diapers are not seen in the video.,False,There is no child or baby present in the video.
huggies,results/huggies/C669hlRxgTQ_2024-05-13_20-03-09_UTC.jpg,False,"The video shows a baby and a woman interacting, but it does not show the baby using Huggies diapers or wipes.  There is a pack of Huggies wipes visible on the floor, but there is no depiction of usage.",True,A pack of Huggies wipes is clearly visible on the floor. The packaging is clearly labeled with the Huggies brand and Winnie the Pooh imagery.,True,"A baby is present in the video, lying on the floor next to the adult woman."
huggies,results/huggies/C_YaPBlOHaf_2024-09-01_16-34-48_UTC_1.jpg,False,"The video shows a baby, but it does not show the baby using the Huggies diapers. The baby is being held by an older child.",True,A box of Huggies Plus Little Snugglers diapers is clearly visible in the background of the video.,True,A baby is present and being held by an older child.
huggies,results/huggies/C2fIdPWLJqy_2024-01-24_14-33-51_UTC.jpg,False,No one in the video is shown using Huggies diapers. The video shows a mascot and a woman in a store.,False,"The Huggies brand is mentioned on a sign, but no Huggies products are visible.",False,There are no children or babies present in this video.
huggies,results/huggies/C9-Apt8JH7f_2024-07-28_13-59-07_UTC_1.jpg,False,No product is shown in the video.,False,No product is shown in the video.,True,A baby is shown in the video being held by the parents.
huggies,results/huggies/C8INr-lPv2-_2024-06-12_20-04-31_UTC_1.jpg,False,No product is being used by anyone in the video.,False,There is no Huggies product visible in the video.,True,There is a baby present in the video.
huggies,results/huggies/DAbFMumObCv_2024-09-27_14-01-31_UTC_1.jpg,False,"The video shows a gift basket with Huggies products, but does not show anyone using the diapers.",True,Several packages of Huggies diapers and other baby products are clearly visible in the gift basket.,False,There are no children or babies present in this video.
huggies,results/huggies/C87sZp5PZ7b_2024-07-02_19-53-15_UTC_1.jpg,False,"A person is holding a Huggies diaper package, but is not shown using it on a baby.",True,The Huggies diaper package is clearly visible in the video.,False,"There is an image of a baby on the diaper package, but no baby is present in the video."
huggies,results/huggies/C65KuSLsHLH_2024-05-13_03-16-44_UTC_1.jpg,False,There is no product shown in the image.,False,There is no product shown in the image.,False,There is no child or baby present in the image.
huggies,results/huggies/C7BC1aagflN_2024-05-16_04-41-44_UTC_4.jpg,False,There is no product usage shown in the video.,False,The product is not seen in the image.,True,There is a baby present in the image.
huggies,results/huggies/C3pzW3TsmvN_2024-02-22_14-31-35_UTC.jpg,False,"The video shows people shopping, but does not show anyone using Huggies diapers.",False,The video does not show the Huggies product.,True,There is a child present in the video.
huggies,results/huggies/C7msdX4Pnqw_2024-05-30_19-37-21_UTC_1.jpg,False,No one in the video is shown using Huggies diapers.  The video shows two adults interacting.,False,The video does not show any Huggies products.,False,There are no children or babies present in this video.
huggies,results/huggies/DBjp6oSP6yQ_2024-10-25_18-27-57_UTC.jpg,False,"A person is shown organizing Huggies diapers and wipes in a drawer, but they are not shown using the products on a baby.",True,The Huggies brand is clearly visible on the diaper and wipe packaging.,True,A baby is shown on the packaging of the Huggies diapers.
huggies,results/huggies/C6aXid9rMb__2024-05-01_04-15-16_UTC.jpg,False,There is no product shown in action in the video.,False,Huggies diapers are not seen in the image.,True,A baby is present in the image.
huggies,results/huggies/C8FJXY7xELL_2024-06-11_15-27-51_UTC_1.jpg,False,"The video shows a baby wearing Huggies diapers, but it does not show the process of putting the diapers on.",True,A box of Huggies Plus Little Movers diapers is clearly visible in the video.,True,A baby is present in the video and is wearing Huggies diapers.
huggies,results/huggies/C4vRfrLsxhA_2024-03-20_14-01-19_UTC_1.jpg,False,The video shows people shopping in a supermarket. There is no product usage shown.,False,The video does not show any Huggies products.,False,There are no children or babies present in this video.
huggies,results/huggies/C9SheoqMXc5_2024-07-11_16-40-44_UTC.jpg,False,No one in the video is shown using Huggies diapers. ,False,"The Huggies brand is mentioned in a hashtag, but no Huggies products are shown in the video.",True,There are three children present in the video; one baby is being held by an adult.
huggies,results/huggies/DCSBtpby5V__2024-11-12_18-50-29_UTC_1.jpg,False,No one in the video is shown using Huggies diapers. ,False,Huggies diapers are not seen in the video.,True,There are two young children in the video.
huggies,results/huggies/C_OZ-zayDHG_2024-08-28_19-21-08_UTC_1.jpg,False,The video does not show anyone using Huggies diapers.,False,Huggies diapers are not shown in the video.,True,A baby or toddler is present in the video.
huggies,results/huggies/C65KuSLsHLH_2024-05-13_03-16-44_UTC_2.jpg,False,No person in the video is shown using Huggies diapers.,False,Huggies diapers are not seen in the video.,False,There is no child or baby present in the video.
huggies,results/huggies/C65KuSLsHLH_2024-05-13_03-16-44_UTC_5.jpg,False,No one in the video is shown using Huggies diapers.,False,There are no Huggies products visible in the video.,False,There are no children or babies present in the video.
huggies,results/huggies/C_LobwOOonC_2024-08-27_17-30-07_UTC.jpg,False,"The video shows a child, but there is no evidence that the child is wearing Huggies diapers.  The focus is on the child getting ready for school.",False,The Huggies brand or product is not visible in this video.,True,A young boy is present in the video.
huggies,results/huggies/C7ubuJJS8Id_2024-06-02_19-46-22_UTC.jpg,False,"The video shows a package of Pull-Ups and a young child, but it does not show anyone using the product.",True,A package of Huggies Pull-Ups is clearly visible in the video.,True,A young girl is present in the video.
huggies,results/huggies/C-8HR2RPmUl_2024-08-21_16-53-36_UTC.jpg,False,"The person in the video is holding a package of Huggies diapers, but does not show them being used on a baby.",True,The Huggies diaper package is clearly visible and the brand is prominent.,True,There is a baby shown on the Huggies diaper package.
huggies,results/huggies/C-8IXdRvK0S_2024-08-21_16-59-38_UTC_1.jpg,True,A baby is shown wearing a Huggies Little Snugglers diaper.,True,A package of Huggies Little Snugglers diapers is clearly visible in the video.,True,There is a baby present wearing the Huggies diapers.
huggies,results/huggies/DBpm5KIoGiG_2024-10-28_01-57-35_UTC.jpg,False,"The video shows a baby and a woman, but there is no demonstration of how to use the product.",True,A box of Huggies Plus Little Snugglers diapers is clearly visible in the image.,True,"A baby is present in the image; the baby appears to be wearing a diaper, but it is not clear what brand."
huggies,results/huggies/C1SNg7MxayD_2023-12-25_17-33-47_UTC_1.jpg,False,There is no product usage shown in the video.,False,The provided image does not show any Huggies products.,True,Two children are present in the image.
huggies,results/huggies/C2fSOj0ssBC_2024-01-24_15-59-41_UTC_1.jpg,False,"The baby is wearing Huggies diapers, but there is no demonstration of putting the diapers on.",True,A Huggies package is visible in the background.,True,A baby is being held by an adult in the image.
huggies,results/huggies/C4Q2MLaPuyO_2024-03-08_18-25-31_UTC.jpg,False,No one in the video is shown using the Huggies diapers.  The video shows a woman receiving a package of Huggies diapers.,True,A box of Huggies OverNites diapers is clearly visible on the ground outside the door.,False,There are no children or babies present in the video.
huggies,results/huggies/C8yPU6EMfSg_2024-06-29_03-45-04_UTC_2.jpg,False,The baby is present but there is no clear indication that the baby is wearing the diapers or that the diapers are being used on the baby.,True,A package of Huggies snug and dry diapers is clearly visible in the image.,True,A baby is present in the image.
huggies,results/huggies/C22zJ2dvtuY_2024-02-02_19-06-44_UTC_2.jpg,False,The image does not show anyone using Huggies diapers. ,False,The image does not show any Huggies products.,True,There is a baby present in the image.
huggies,results/huggies/C2La3UjvZ4u_2024-01-16_22-51-28_UTC.jpg,False,The video shows a person taking Huggies wipes out of their packaging and placing them on a shelf.  The wipes are not shown being used on a baby.,True,"The Huggies wipes are clearly visible in the packaging, and the brand is prominently displayed.",True,"A baby's leg is visible in the video, suggesting a baby is present."
huggies,results/huggies/C9lWPVKuz-F_2024-07-19_00-09-18_UTC.jpg,False,There is no product usage shown in the video.,False,The product is not seen in the video.,True,There is a baby present in the video.
huggies,results/huggies/C1SNg7MxayD_2023-12-25_17-33-47_UTC_4.jpg,False,No product is used by anyone in the video.,False,No product is seen in the video.,False,There is no child or baby present in the video.
huggies,results/huggies/C-BBFvfyQ8s_2024-07-29_18-02-33_UTC_1.jpg,False,"The person in the video is shown putting Huggies products away in a drawer, not using them on a baby.",True,A package of Huggies Skin Essentials wipes is clearly visible in the video.,False,There is no baby or child present in the video.
huggies,results/huggies/C2A9zoMP_Uy_2024-01-12_21-22-31_UTC.jpg,False,The video shows two babies and their mother. The babies are wearing Huggies diapers but the video does not show the process of putting on diapers. ,True,The Huggies box is clearly seen in the video.,True,There are two babies present in the video.
huggies,results/huggies/C79fGbFO5eY_2024-06-08_16-06-47_UTC_1.jpg,False,No one in the video is shown using the diapers.  Diapers are shown flying through the air.,True,"The diapers are clearly visible, though not in use by anyone.",True,A young child is present in the video.
huggies,results/huggies/C7jvykEuMjz_2024-05-29_16-08-44_UTC_2.jpg,True,A baby is shown wearing a Huggies diaper. An adult is shown putting the diaper on the baby.,True,The Huggies diaper is clearly visible on the baby.,True,A baby is present in the video wearing a diaper.
huggies,results/huggies/C8xYDlTyoLl_2024-06-28_19-42-52_UTC_1.jpg,False,No one in the video is shown using the Huggies diapers.  A package of Huggies is shown on the floor.,True,A package of Huggies Skin Essentials size 5 diapers is clearly visible on the floor.,True,Two toddlers are present in the video; they are sitting with an adult woman.
huggies,results/huggies/C2L1PcYrdjW_2024-01-17_02-39-23_UTC.jpg,False,"The video shows a baby, but it does not show the baby using the diapers. The video only shows a baby being held and the text mentions testing the diapers.",False,"The Huggies Little Movers diapers are mentioned in the text, but the diapers are not visually shown.",True,"A baby is present in the video, being held by an adult."
huggies,results/huggies/C8E2yasR9Y9_2024-06-11_12-44-49_UTC.jpg,False,"The video shows a package of Huggies diapers, but does not show anyone using the diapers.",True,The Huggies Snug and Dry diapers are clearly visible in the image. The packaging clearly shows the brand name and other details.,False,There are no children or babies present in the image.
huggies,results/huggies/C-8NcA9OBzd_2024-08-21_17-43-46_UTC_4.jpg,False,The video shows Huggies diapers and wipes but does not show anyone using them.,True,"The Huggies brand is clearly visible on the diapers, wipes, and packaging.",False,There are no children or babies present in this video.
huggies,results/huggies/C6sB_TjsIgK_2024-05-08_00-53-21_UTC_1.jpg,False,The video shows a mother getting ready to go out with her baby.  There is no clear depiction of the Huggies diapers being used or applied to the baby.,False,The Huggies brand or product is not shown.,True,A baby is present in a baby carrier.
huggies,results/huggies/C9nB26OuoUL_2024-07-19_15-47-08_UTC_2.jpg,False,"A woman is shown organizing Huggies diapers, but not using them on a baby.",True,The Huggies diaper boxes and many diapers are clearly visible.,False,"There is an image of a baby on the Huggies box, but no baby is present in the video."
huggies,results/huggies/C93l-StP826_2024-07-26_02-11-25_UTC.jpg,False,"The video shows the Huggies products in a box, but does not show anyone using them.",True,"The Huggies diapers and wipes are clearly visible in the box, and the packaging is clearly labeled.",True,There is a picture of a baby on the diaper packaging.
huggies,results/huggies/C-8NcA9OBzd_2024-08-21_17-43-46_UTC_3.jpg,False,"The person in the video is organizing Huggies diapers and wipes, but not shown using them on a baby.",True,The Huggies diapers and wipes are clearly visible in the box and container.,False,There is no child or baby present in the video.
huggies,results/huggies/C687-D5OtXf_2024-05-14_14-26-47_UTC.jpg,False,"The person in the video is holding the Huggies wipes, but it's not shown being used on a baby.",True,The Huggies wipes packaging is clearly visible in the video.,False,There is no child or baby present in this video.
huggies,results/huggies/C7msdX4Pnqw_2024-05-30_19-37-21_UTC_2.jpg,False,The video shows a baby sleeping in a car seat. There is no visible product usage shown.,False,The product is not clearly seen in the video.,True,A baby is present in a car seat.
huggies,results/huggies/C6kpwFcLpCG_2024-05-05_04-03-49_UTC_5.jpg,False,"There is no person in the image, therefore it is not possible to determine if the product is being used.",False,The image does not show any product.,False,There are no children or babies present in the image.
huggies,results/huggies/C7BC1aagflN_2024-05-16_04-41-44_UTC_1.jpg,False,The video does not show anyone using Huggies diapers.,False,Huggies diapers are not visible in this image.,True,"A baby is visible in the image, but it is unclear if they are wearing Huggies diapers."
huggies,results/huggies/C-dg2POyvPv_2024-08-09_19-36-54_UTC_1.jpg,False,"The baby is being held by the mother, but there is no clear demonstration of how the product is used.",False,"Huggies is written on the stuffed animal, but the diapers themselves are not visible.",True,A baby is present in the mother's arms.
huggies,results/huggies/C1SNg7MxayD_2023-12-25_17-33-47_UTC_2.jpg,False,No product is used in the video,False,There is no product shown in the video,False,There is no child or baby present in the video
